1,2,SOL,SOMBRA,50,100,150,CCN51,EET8,ICS1,ICS95,SCC19,SCC52,SCC61,SCC64,SCC83,TSH565,Transpiración,Uso eficiente del agua,No TOTAL RAMAS,Producción
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,4933333333333336","1,206556084767666","2,5","1090,278"
0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,5233333333333332","1,8460295401153208","2,8333333333333335","259,3"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"2,57","1,2451361867704283","2,6666666666666665","2222,41"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"2,393333333333333","1,2176237352243173","2,5","454,5"
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"2,276666666666667","1,6248605167727062","2,6666666666666665","684,105"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,246","1,7989161472933404","2,8333333333333335","2864,453846153846"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,043333333333333","1,4555577593439128","2,3333333333333335","2067,424"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,4133333333333333","2,396228736657541","2,6666666666666665","3482,520769230769"
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,13","2,0927028620866217","2,375","1882,9249999999997"
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,9533333333333331","1,8800144997136659","2,1666666666666665","981,8479999999998"
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,6466666666666665","2,461591807909605","2,4","239,10666666666668"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,9060000000000001","0,940470253383064","2,3333333333333335","3412,0350000000003"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"2,01","1,65019369112726","2,1666666666666665","531,4"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,9566666666666663","1,3174310844219368","2,5","4580,5199999999995"
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,13","2,0927028620866217","2,1666666666666665","13459,673076923074"
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,9533333333333331","1,8800144997136659","2,1666666666666665","6104,61"
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"1,9433333333333334","2,060258145363408","2,1666666666666665","5568,12"
0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,6466666666666665","2,461591807909605","2,1666666666666665","3585,3168000000005"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,55","2,0516129032258066","2,1666666666666665","13806,2475"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"1,3033333333333335","1,232969836150848","2,1666666666666665","3855,5"
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"2,15","1,5122287195062063","2,1666666666666665","8945,407272727272"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,9060000000000001","0,940470253383064","2,0","6161,555555555555"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"2,01","1,65019369112726","2,0","2456,3685714285716"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,9566666666666663","1,3174310844219368","1,8333333333333333","6713,27111111111"
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"3,08936288108715","3,200230438850497","2,0","3518,664"
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"2,944201550469161","3,388159986079476","2,3333333333333335","705,72"
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"3,2871139734608668","2,8845650506628466","2,3333333333333335","753,77"
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"3,1612035353707064","3,479333386334717","2,0","2811,3062500000005"
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,9997595838217286","3,5300496997717037","2,0","3479,008695652174"
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"2,7645790204326475","3,0377729383297716","2,0","515,655"
1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"3,795155317999073","3,082546179972176","2,1666666666666665","10050,446153846155"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,579455043940167","3,4929117378537913","2,0","1181,02"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,987624788277692","3,124605243041542","2,0","460,625"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"3,179602911802165","3,220326838379082","2,0","4721,227368421053"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,9997595838217286","3,5300496997717037","2,1666666666666665","762,3000000000001"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,579455043940167","3,4929117378537913","1,8333333333333333","3305,475"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,987624788277692","3,124605243041542","2,0","1195,18"
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,1333333333333335","2,9374106992052513","2,5","3591,3555555555554"
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"1,843333333333333","2,04537071305206","2,6666666666666665","62,54"
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1,57","2,5418557327317006","2,5","702,9399999999999"
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"2,1","1,7093705453731216","2,8333333333333335","94,358"
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1,45","1,5039772727272727","2,1666666666666665","980,84"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,0900000000000003","1,703227952440776","2,5","590,8428571428572"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,4966666666666668","1,8467535959134291","2,3333333333333335","414,0300000000001"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"1,57","3,2265861707800965","2,5","3444,8166666666666"
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,8633333333333333","1,8365267236346263","2,5","1225,92"
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,5766666666666669","1,7410140679053043","2,6666666666666665","335,58"
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2,2133333333333334","1,5857199442938785","2,1666666666666665","552,0"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,7933333333333332","2,1845105678106416","2,3333333333333335","222,5969230769231"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"2,14","2,342978320654309","2,5","3696,42"
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,8633333333333333","1,8365267236346263","2,3333333333333335","13058,804"
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1,7266666666666666","1,586718398560504","2,0","7102,2707142857125"
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,5766666666666669","1,7410140679053043","2,5","4604,28"
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2,2133333333333334","1,5857199442938785","2,0","4932,12"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,18","2,2916867076022296","2,1666666666666665","6826,539999999998"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,7933333333333332","2,1845105678106416","2,0","7460,91"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"2,14","2,342978320654309","2,1666666666666665","6841,924285714286"
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"3,315857224154861","3,2417596909792756","2,3333333333333335","4633,358823529412"
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"4,001530456980325","3,1412921611719895","2,0","843,4000000000001"
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"3,438828487748639","3,37702503751443","2,1666666666666665","582,4"
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"2,689843911820136","3,8592363393040614","2,1666666666666665","3754,8503999999994"
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2,6939220963021566","3,523144619670877","2,0","2278,113333333333"
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"3,426345396637935","3,285373871739474","2,1666666666666665","1347,68"
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"3,005058116135491","3,5203768716545425","2,1666666666666665","4091,1742857142854"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,8346159679552088","3,848898551662438","2,0","1039,8"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"4,264586315305755","2,9605054630186944","1,8333333333333333","1222,34"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"3,8697526156199817","2,909557745732174","2,0","1039,424"
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"3,438828487748639","3,37702503751443","2,3333333333333335","2218,5"
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2,6939220963021566","3,523144619670877","2,1666666666666665","198,62"
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,7533333333333332","1,6582683692827649","2,6666666666666665","3181,896"
0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"3,17","0,5781200063918186","2,5","1138,93"
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"2,3666666666666667","1,9259112775170362","2,5","2324,685"
0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1,9233333333333331","1,4720165330553243","2,8333333333333335","122,88"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"1,825","1,8803982077442487","2,6666666666666665","2829,7043478260866"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"2,0866666666666664","2,0624089558056693","2,0","525,6"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"2,6999999999999997","2,0766917594930443","2,1666666666666665","1367,7559999999999"
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,8566666666666667","1,940629370629371","2,0","223,0"
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,9633333333333332","2,0287603400705305","2,0","163,82500000000005"
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,4533333333333331","3,147046191751715","2,3333333333333335","368,45000000000005"
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"1,5266666666666666","3,7730478616227265","2,3333333333333335","351,0"
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"2,183333333333333","2,145693220136526","2,6666666666666665","624,0"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"2,186666666666667","2,944151558464354","2,5","8521,876666666667"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"2,11","3,00922883585004","2,1666666666666665","285,51666666666665"
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,88","2,4459890690672634","2,3333333333333335","10450,767142857143"
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"1,7133333333333336","2,2679806160919376","2,1666666666666665","2802,96"
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,8566666666666667","1,940629370629371","2,3333333333333335","5423,7375"
0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,4533333333333331","3,147046191751715","2,0","8858,85"
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"1,5266666666666666","3,7730478616227265","2,0","4201,525"
0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"2,183333333333333","2,145693220136526","2,1666666666666665","8310,17"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"2,186666666666667","2,944151558464354","2,0","7702,5"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"2,11","3,00922883585004","2,0","4671,1875"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"2,02","1,6671402112775493","2,0","7825,399999999999"
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"2,7004508177636968","3,257962609721369","2,3333333333333335","4717,843750000001"
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"2,7296752221374447","3,280973346846521","2,0","3231,045"
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"3,041606717130891","3,3725369010224724","2,1666666666666665","822,2900000000002"
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"2,4312775008573193","3,6507516060142247","1,6666666666666667","3940,0071428571428"
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"2,530704069117856","3,4780260173686415","2,0","839,8699999999999"
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"2,8556787150513316","3,6267815983409033","2,0","2698,7200000000003"
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"3,1911896061714926","3,387588705314982","2,5","3627,0876923076926"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"3,746674128273606","3,391582998530088","2,0","2291,7405"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"3,5920347049814207","2,809777447529425","1,8333333333333333","2567,4937499999996"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"3,5766067582518155","2,5676765699467357","2,3333333333333335","1917,253333333333"
0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"2,530704069117856","3,4780260173686415","2,5","1058,6999999999998"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"3,746674128273606","3,391582998530088","2,3333333333333335","1379,24"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"3,5766067582518155","2,5676765699467357","2,5","1867,36"
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,8333333333333333","2,233253837933641","2,0","1000,0"
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"0,67","1,1343283582089552","2,1666666666666665","845,76"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,4659999999999997","1,472523093572788","2,3333333333333335","1931,28"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,1133333333333333","1,9494480587934095","2,1666666666666665","2312,17"
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"0,6166666666666667","2,249340831376427","2,5","1495,872"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,186","2,729379430765473","2,1666666666666665","2570,06"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,0933333333333333","2,1052440676334485","2,0","4014,8100000000004"
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,3500000000000003","1,7334656913967261","2,0","2782,065"
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,7000000000000002","2,0654640182351023","2,0","1254,0"
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"0,7666666666666666","1,8871541330557726","2,1666666666666665","2932,1454545454544"
0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"0,6666666666666666","2,0232642517125274","2,0","6625,38"
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"0,97","1,443298969072165","2,0","686,0900000000001"
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"0,6166666666666667","2,249340831376427","2,0","1504,49"
0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"1,0966666666666667","1,5132876382876381","2,0","3083,0"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,186","2,729379430765473","1,8333333333333333","2581,215"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"1,25","1,5169263924087353","2,0","2524,33125"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,0933333333333333","2,1052440676334485","2,0","787,04"
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,1164500962255324","3,9035600778933364","2,0","980,4000000000001"
1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,7682471708713872","4,6232017109849215","2,1666666666666665","4438,4"
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"2,317255282241943","4,3864880104284145","1,6666666666666667","4923,4"
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"2,004644440195881","4,72439019965305","2,1666666666666665","1719,7766666666666"
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"1,4994525608859137","4,447879718739429","2,1666666666666665","2725,653333333333"
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"2,2544419285820445","4,146859472906624","2,6","5712,51"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,7721240899072945","4,410613809678787","2,0","3405,8699999999994"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"1,9270780915668126","4,659440382137146","2,0","7224,5599999999995"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"2,0130892692614943","4,323234934277282","2,0","4425,160000000001"
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"2,004644440195881","4,72439019965305","2,1666666666666665","307,524"
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,28","1,8228349853007504","2,3333333333333335","3707,13"
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"0,81","2,1783216783216783","2,1666666666666665","146,02"
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"0,9433333333333334","1,6626542532626984","2,6666666666666665","1666,1866666666667"
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"1,2466666666666668","2,238130931837791","2,5","1664,0533333333333"
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,1633333333333333","2,893291539127721","2,8333333333333335","1448,748"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"1,0033333333333332","2,369289202387412","2,6666666666666665","2253,6266666666666"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"0,9266666666666666","1,550430317054358","2,3333333333333335","1818,78"
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,0166666666666666","1,7629878403960972","2,0","219,016"
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"1,3","2,12360930287608","2,0","2660,496"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"0,94","1,9714530361082085","2,0","6291,76"
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,0166666666666666","1,7629878403960972","2,0","8741,37"
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"1,3","2,12360930287608","1,5","1119,8"
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"0,8633333333333333","2,3140532307198978","2,3333333333333335","3138,5714285714284"
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"0,7066666666666667","1,5295432947621441","1,6666666666666667","3755,73"
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"0,64","3,4785871535871533","2,0","2726,2472727272725"
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"0,7399999999999999","2,088804713804714","2,0","4085,7818181818184"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"0,8666666666666667","2,0887730912171394","1,6666666666666667","1210,5955555555554"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"0,8833333333333333","2,7622640975848873","1,8333333333333333","1085,3514285714284"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"0,94","1,9714530361082085","1,5","3510,0038461538466"
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,6737172140068803","4,845736374207806","2,1666666666666665","798,575"
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"2,3215774522497643","4,328254923338906","1,6666666666666667","472,84999999999997"
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"3,312905908457123","3,293840690660726","2,3333333333333335","3433,5"
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"1,6114852335936571","4,980122836366859","1,6666666666666667","591,9733333333334"
1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"2,493650084889359","3,5235699262456754","2,0","5939,040000000001"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,4943870475820145","3,867857598119398","1,8333333333333333","790,6500000000001"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"3,3683773111884587","3,1349715319049163","1,8333333333333333","4082,8900000000003"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"1,8265568581555474","4,535047647825496","1,8333333333333333","4142,85"
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,6737172140068803","4,845736374207806","2,1666666666666665","1347,584"
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"2,493650084889359","3,5235699262456754","2,0","136,22600000000003"
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,3233333333333335","2,5328966515568556","2,5","1144,8539999999998"
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,5566666666666666","1,805212158527021","2,6666666666666665","255,9"
0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,4566666666666668","1,887513824375138","2,5","713,55"
0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"1,05","3,238554015265604","2,3333333333333335","1150,0"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"0,8933333333333334","3,3286591317359586","2,6666666666666665","1698,4"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"1,5633333333333332","1,3290298005597527","2,5","2182,34"
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"0,9833333333333334","1,5702614379084965","2,6666666666666665","834,2"
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"0,7066666666666667","2,1300467909505163","2,1666666666666665","95,0"
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"0,9933333333333333","2,5875319451375343","2,0","2441,475"
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,2733333333333332","2,305403103892612","2,0","5139,049999999999"
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"1,05","1,7404201077583898","1,8333333333333333","1027,78"
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"0,9833333333333334","1,5702614379084965","2,3333333333333335","2432,665"
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"0,7066666666666667","2,1300467909505163","1,6666666666666667","2704,7999999999997"
0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"0,9400000000000001","1,0743625245182877","2,0","2763,2999999999997"
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"0,5833333333333334","2,922017359257049","2,0","3856,2566666666667"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"0,8899999999999999","3,398928235955839","2,1666666666666665","2325,7125"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"0,8433333333333333","1,8082269566307534","2,0","2387,7"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"0,9933333333333333","2,5875319451375343","1,8333333333333333","3763,28"
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,7288796429026583","5,250022397490514","2,0","7160,472727272727"
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"1,548163355432097","5,736903201962377","2,0","4774,8"
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"2,0971802636429797","4,684243025669137","1,6666666666666667","1244,58"
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,5802325708254632","6,4521610229093875","2,0","5880,640000000001"
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"2,3172253675786396","4,523900968884104","2,3333333333333335","1248,2250000000001"
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"1,6200667640442201","5,043358068041374","2,0","4416,259999999999"
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"1,8054538741734565","5,262763576359241","2,3333333333333335","5059,12"
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"2,104469643305039","4,308622600498066","1,8333333333333333","1138,0"
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"1,7288796429026583","5,250022397490514","2,0","604,02"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"2,104469643305039","4,308622600498066","1,8333333333333333","789,2"
